date,location,url,image_file
11/13/2014,IUB,https://www.idsnews.com/article/2014/11/iupd-widens-patrol-parameters-in-light-of-sunday-attack-of-2-iu-students,IUB_11132014_235.png
11/10/2014,IUB,https://www.idsnews.com/article/2014/11/middle-way-house-receives-grant-from-ind-first-lady,IUB_11102014_236.png
11/9/2014,IUB,https://www.idsnews.com/article/2014/11/op-a-little-too-honest,IUB_11092014_239.png
10/28/2014,IUB,https://www.idsnews.com/article/2014/10/george-will-you-shut-up,IUB_10282014_245.png
10/14/2014,IUB,https://www.idsnews.com/article/2014/10/students-march-against-sexual-assault,IUB_10142014_251.png
10/1/2014,IUB,https://www.idsnews.com/article/2014/10/x-marks-the-spot,IUB_10012014_256.png
9/29/2014,IUB,https://www.idsnews.com/article/2014/09/op-fratorities-are-not-the-answer,IUB_09292014_257.png
9/15/2014,IUB,https://www.idsnews.com/article/2014/09/op-helping-the-abused,IUB_09152014_267.png
9/10/2014,IUB,https://www.idsnews.com/article/2014/09/want-from-within,IUB_09102014_268.png
9/8/2014,IUB,https://www.idsnews.com/article/2014/09/op-carrying-the-weight,IUB_09082014_271.png
9/2/2014,IUB,https://www.idsnews.com/article/2014/09/nailing-safety-in-theory,IUB_09022014_276.png
8/26/2014,IUB,https://www.idsnews.com/article/2014/08/womens-equality-day-celebrated-downtown-plaque-dedicated-to-susan-b-anthony,IUB_08262014_277.png
,IUB,https://www.idsnews.com/article/2014/08/party-right-for-a-good-night,IUB_nan_281.png
8/19/2014,IUB,https://www.idsnews.com/article/2014/08/it-may-not-be-what-you-think-it-is,IUB_08192014_282.png
8/18/2014,IUB,https://www.idsnews.com/article/2014/08/b-line-trail-increases-police-patrol,IUB_08182014_283.png
6/29/2014,IUB,https://www.idsnews.com/article/2014/06/democrats-have-forum-to-meet-candidates,IUB_06292014_285.png
5/30/2014,IUB,https://www.idsnews.com/article/2014/05/kinsey-institute-brings-radical-sex-research-to-iu,IUB_05302014_288.png
5/30/2014,IUB,https://www.idsnews.com/article/2014/05/be-aware-practice-campus-safety,IUB_05302014_289.png
5/18/2014,IUB,https://www.idsnews.com/article/2014/05/iu-under-investigation-for-violations,IUB_05182014_291.png
5/5/2014,IUB,https://www.idsnews.com/article/2014/05/our-semester-in-review,IUB_05052014_296.png
4/24/2014,IUB,https://www.idsnews.com/article/2014/04/before-its-too-late,IUB_04242014_309.png
4/24/2014,IUB,https://www.idsnews.com/article/2014/04/greeks-and-non-greeks-deserve-to-know,IUB_04242014_310.png
4/21/2014,IUB,https://www.idsnews.com/article/2014/04/changing-the-culture,IUB_04212014_311.png
2/10/2014,IUB,https://www.idsnews.com/article/2014/02/who-fixed-the-lifeline-law-anyway,IUB_02102014_343.png
2/9/2014,IUB,https://www.idsnews.com/article/2014/02/womens-law-caucus-raises-money-for-local-activism-agencies,IUB_02092014_344.png
2/3/2014,IUB,https://www.idsnews.com/article/2014/02/iusa-proposes-lifeline-law-changes,IUB_02032014_346.png
1/28/2014,IUB,https://www.idsnews.com/article/2014/01/college-democrats-decry-hjr-3,IUB_01282014_351.png
12/10/2015,IUB,https://www.idsnews.com/article/2015/12/editorial-porn-star-james-deen-accused-of-raping-stoya-and-others,IUB_12102015_357.png
12/8/2015,IUB,https://www.idsnews.com/article/2015/12/editorial-women-up-in-arms,IUB_12082015_358.png
12/6/2015,IUB,https://www.idsnews.com/article/2015/12/editorial-false-rape-accusations-hurt-everyone,IUB_12062015_360.png
12/3/2015,IUB,https://www.idsnews.com/article/2015/12/iu-board-of-trustees-discuss-campus-safety,IUB_12032015_363.png
12/3/2015,IUB,https://www.idsnews.com/article/2015/12/iusa-forum-facilitates-discussion-between-organizations-on-safety,IUB_12032015_364.png
11/17/2015,IUB,https://www.idsnews.com/article/2015/11/suspect-stil-not-located,IUB_11172015_370.png
11/11/2015,IUB,https://www.idsnews.com/article/2015/11/brave-miss-world,IUB_11112015_375.png
11/8/2015,IUB,https://www.idsnews.com/article/2015/11/editorial-houston-rejects-its-hero,IUB_11082015_377.png
11/4/2015,IUB,https://www.idsnews.com/article/2015/11/scouts-guide,IUB_11042015_379.png
10/29/2015,IUB,https://www.idsnews.com/article/2015/10/revisions-added-to-indiana-lifeline-law,IUB_10292015_381.png
10/22/2015,IUB,https://www.idsnews.com/article/2015/10/domestic-abuse-victim-advocate-receives-state-recognition,IUB_10222015_383.png
10/21/2015,IUB,https://www.idsnews.com/article/2015/10/sigma-chi-raises-awareness-of-sexual-assault,IUB_10212015_386.png
10/21/2015,IUB,https://www.idsnews.com/article/2015/10/editorial-its-on-them,IUB_10212015_388.png
10/21/2015,IUB,https://www.idsnews.com/article/2015/10/assault-data,IUB_10212015_389.png
10/19/2015,IUB,https://www.idsnews.com/article/2015/10/editorial-keeping-who-safe,IUB_10192015_393.png
10/13/2015,IUB,https://www.idsnews.com/article/2015/10/mars-raises-banners-awareness,IUB_10132015_396.png
10/12/2015,IUB,https://www.idsnews.com/article/2015/10/house-without-a-name,IUB_10122015_399.png
10/11/2015,IUB,https://www.idsnews.com/article/2015/10/editorial-ato-just-no,IUB_10112015_400.png
10/9/2015,IUB,https://www.idsnews.com/article/2015/10/take-back-the-night-brings-sexual-violence-awareness,IUB_10092015_401.png
10/8/2015,IUB,https://www.idsnews.com/article/2015/10/ato-suspension,IUB_10082015_402.png
10/5/2015,IUB,https://www.idsnews.com/article/2015/10/editorial-keeping-us-in-the-dark,IUB_10052015_407.png
9/23/2015,IUB,https://www.idsnews.com/article/2015/09/editorial-till-it-happens-to-1-in-4-of-us,IUB_09232015_414.png
9/11/2015,IUB,https://www.idsnews.com/article/2015/09/studens-agains-violence,IUB_09112015_419.png
9/8/2015,IUB,https://www.idsnews.com/article/2015/09/quiet-grrrl-speaks-out-against-injustice,IUB_09082015_421.png
9/2/2015,IUB,https://www.idsnews.com/article/2015/09/men-against-rape-and-sexual-assault-spreads,IUB_09022015_423.png
8/23/2015,IUB,https://www.idsnews.com/article/2015/08/rachael-first-week,IUB_08232015_429.png
7/12/2015,IUB,https://www.idsnews.com/article/2015/07/op-editorial-lessons-from-the-cosby-assault-allegations,IUB_07122015_433.png
7/5/2015,IUB,https://www.idsnews.com/article/2015/07/welcome-to-college-musical-educates-and-entertains,IUB_07052015_434.png
7/7/2015,IUB,https://www.idsnews.com/article/2015/07/institute-provides-insight-into-intimacy,IUB_07072015_440.png
5/3/2015,IUB,https://www.idsnews.com/article/2015/05/editorial-in-the-dark,IUB_05032015_444.png
4/19/2015,IUB,https://www.idsnews.com/article/2015/04/consent-is-hot-campaign-hit-coffee-shops-this-weekend,IUB_04192015_450.png
4/17/2015,IUB,https://www.idsnews.com/article/2015/04/house01,IUB_04172015_451.png
4/16/2015,IUB,https://www.idsnews.com/article/2015/04/cupcakes-and-condoms-to-come-next-week,IUB_04162015_453.png
4/15/2015,IUB,https://www.idsnews.com/article/2015/04/dating-doctor-prescribes-self-love,IUB_04152015_454.png
3/29/2015,IUB,https://www.idsnews.com/article/2015/03/iusa-tickets-talk-sexual-assault-student-involvement,IUB_03292015_463.png
3/25/2015,IUB,https://www.idsnews.com/article/2015/03/greeks-collaborate-to-combat-sexual-assault,IUB_03252015_465.png
3/24/2015,IUB,https://www.idsnews.com/article/2015/03/artist-lectures-on-sexual-masculinity,IUB_03242015_466.png
3/13/2015,IUB,https://www.idsnews.com/article/2015/03/the-tradition-is-condemned-in-public-by-fraternity-leadership-yet-still-happens-on-ius-campus,IUB_03132015_470.png
3/12/2015,IUB,https://www.idsnews.com/article/2015/03/dormant-hotel-will-be-remodeled-by-senators,IUB_03122015_471.png
