date,location,url,image_file,detected_faces,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,emotion_value
12/11/2011,IUB,https://www.idsnews.com/article/2011/12/iusa-remembers-semester,IUB_12112011_1.png,1,['neutral'],[10.125825837156077],[0.00012061833257604476],[5.82172987500073],[0.007551853750704527],[39.85177995541335],[0.17242825397214245],[44.02055811636947],-1.7218993284792559
11/7/2011,IUB,https://www.idsnews.com/article/2011/11/not-the-bloomington-i-know,IUB_11072011_3.png,0,,,,,,,,,
10/27/2011,IUB,https://www.idsnews.com/article/2011/10/not-another-number-a-personal-definition-of-sexual-assault,IUB_10272011_7.png,1,['happy'],[2.9219497187049427e-05],[2.7978699585173844e-10],[6.690121095783776],[90.71392957651196],[2.5657210165691984],[8.291823278176871e-08],[0.030193511682920855],3.4170044739646284
10/5/2011,IUB,https://www.idsnews.com/article/2011/10/staying-safe-while-studying-abroad,IUB_10052011_12.png,1,['sad'],[0.9576824493706226],[0.00013423082236840855],[7.246794551610947],[0.00875094992807135],[88.01890015602112],[0.0005184358542464906],[3.76722551882267],-2.8501131545512814
10/5/2011,IUB,https://www.idsnews.com/article/2011/10/how-not-to-run-a-murder-case,IUB_10052011_13.png,1,['sad'],[1.7567207221222354],[0.0002922457216778781],[1.779650071540479],[0.02838873648259708],[95.85134362288377],[0.0012856420510214206],[0.5823168785015869],-3.0092639480219887
6/29/2011,IUB,https://www.idsnews.com/article/2011/06/research-suggests-high-rates-of-harassment-against-glbt-students-in-ind-high-schools,IUB_06292011_18.png,0,,,,,,,,,
6/1/2011,IUB,https://www.idsnews.com/article/2011/06/kinsey-institute-brings-ground-breaking-sex-research-to-iu,IUB_06012011_20.png,1,['sad'],[4.2553853774052186e-07],[3.647257818352832e-27],[0.00022646429442829685],[3.7808454860009753e-13],[99.59980249404907],[1.6176805625868814e-15],[0.3999758046120405],-3.018180379460417
4/28/2011,IUB,https://www.idsnews.com/article/2011/04/fighting-back,IUB_04282011_25.png,0,,,,,,,,,
4/13/2011,IUB,https://www.idsnews.com/article/2011/04/belton-murder-trial-hears-closing-arguments-today,IUB_04132011_28.png,1,['happy'],[6.355598339280455e-10],[3.044019201588565e-19],[2.579013730547898e-12],[99.91760849952698],[7.208817310450089e-10],[0.00022272261048783548],[0.08216873975470662],3.9967132488381796
4/13/2011,IUB,https://www.idsnews.com/article/2011/04/if-and-when-your-little-500-party-gets-busted,IUB_04132011_29.png,3,"['happy', 'happy', 'neutral']","[0.1465820300043559, 0.01781684365382231, 2.2754868492484093]","[0.09877547867899879, 0.0009110116113370686, 0.0055069565860321745]","[0.10402962874229298, 0.1433222640050807, 27.300265431404114]","[99.16893233882574, 86.81556503865511, 11.867184937000275]","[0.06452691346355241, 0.25356287716703874, 15.720409154891968]","[0.0005778778593081432, 0.02846512822133322, 7.002981007099152]","[0.4165761669368943, 12.740354999324977, 35.82816421985626]",1.044162653818487
2/24/2011,IUB,https://www.idsnews.com/article/2011/02/yu-pleads-guilty-to-sexual-battery-confinement,IUB_02242011_32.png,2,['neutral'],[30.555516481399536],[7.167108240224707e-07],[0.34641800448298454],[0.005274021532386541],[12.556099891662598],[4.0504417597730935e-06],[56.536686420440674],-1.6094257791387108
1/11/2011,IUB,https://www.idsnews.com/article/2011/01/kappa-union-board-discuss-campus-issues,IUB_01112011_38.png,3,"['neutral', 'sad']","[15.299034118652344, 5.701615726755175]","[0.000598690758124576, 4.947598860333821e-05]","[1.1229757219552994, 1.1592261973945859]","[0.03768209717236459, 0.06475643414182256]","[13.69091421365738, 69.73010066388838]","[0.3607796737924218, 0.001281122542496365]","[69.48801279067993, 23.342965740803987]",-1.3655818923676801
12/4/2012,IUB,https://www.idsnews.com/article/2012/12/sudden-heat,IUB_12042012_40.png,0,,,,,,,,,
